Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kids,2019-12-28 14:14:17,00:13:33,Autoplayed: user action: Unspecified; ,Kung Fu Panda,,Sony Sony Android TV 2018 M2 4K Smart TV,01:23:19,01:23:19,PE (Peru)
Kids,2018-12-10 18:48:27,00:16:49,,Toy Story: olvidados en el tiempo,,Android DefaultWidevineL3Phone Android Phone,00:21:30,00:21:30,PE (Peru)
Kids,2018-12-06 02:12:19,00:08:11,Autoplayed: user action: None; ,"Pocoyó: Temporada 1: ¡Busca, Loula, busca! / La pequeña nube / Un regalo para Elly / El baile de Pocoyó (Capítulo 2)",,Samsung 2014 MStar DTV,00:08:49,00:08:49,PE (Peru)
Kids,2018-12-06 01:45:37,00:26:20,Autoplayed: user action: Unspecified; ,"Pocoyó: Temporada 1: Un día de lluvia / ¡Música, maestro! / Juego limpio / Riing riing (Capítulo 1)",,Samsung 2014 MStar DTV,00:27:01,00:27:01,PE (Peru)
Kids,2018-12-06 01:35:35,00:01:13,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: ¡Pluto al rescate! (Capítulo 21),,Samsung 2014 MStar DTV,00:02:42,00:02:42,PE (Peru)
Kids,2018-12-06 01:12:40,00:22:49,Autoplayed: user action: None; ,"La casa de Mickey Mouse: Temporada 2: Daisy, la espía secreta (Capítulo 20)",,Samsung 2014 MStar DTV,00:24:17,00:24:17,PE (Peru)
Kids,2018-12-06 00:45:57,00:22:50,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: El día de Acción de Gracias de Mickey (Capítulo 19),,Samsung 2014 MStar DTV,00:24:18,00:24:18,PE (Peru)
Kids,2018-12-06 00:22:53,00:22:50,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: El bobo problema de Mickey (Capítulo 18),,Samsung 2014 MStar DTV,00:24:16,00:24:16,PE (Peru)
Kids,2018-12-05 23:59:58,00:22:48,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: El baño de burbujas de Pluto (Capítulo 17),,Samsung 2014 MStar DTV,00:24:17,00:24:17,PE (Peru)
Kids,2018-12-05 23:35:35,00:24:16,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: El gran trabajo de Mickey (Capítulo 16),,Samsung 2014 MStar DTV,00:24:16,00:24:16,PE (Peru)
Kids,2018-12-05 22:39:13,00:21:30,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: El arreo de Mickey (Capítulo 15),,Samsung 2014 MStar DTV,00:22:56,00:22:56,PE (Peru)
Kids,2018-12-05 22:16:17,00:22:50,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: El campamento de Mickey (Capítulo 14),,Samsung 2014 MStar DTV,00:24:16,00:24:16,PE (Peru)
Kids,2018-12-05 22:12:48,00:03:20,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: La exposición de arte de Mickey (Capítulo 13),,Samsung 2014 MStar DTV,00:24:17,00:24:17,PE (Peru)
Kids,2018-12-05 20:21:46,00:19:31,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: La exposición de arte de Mickey (Capítulo 13),,Samsung 2014 MStar DTV,00:20:57,Not latest view,PE (Peru)
Kids,2018-12-05 19:58:40,00:22:50,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: El safari en la jungla de Mickey y Minnie (Capítulo 12),,Samsung 2014 MStar DTV,00:24:17,00:24:17,PE (Peru)
Kids,2018-12-05 19:35:43,00:22:50,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: El parque de diversiones de Clarabella (Capítulo 11),,Samsung 2014 MStar DTV,00:24:18,00:24:18,PE (Peru)
Kids,2018-12-05 19:12:42,00:22:50,Autoplayed: user action: None; ,La casa de Mickey Mouse: Temporada 2: El proyecto de la mascota de Daisy (Capítulo 10),,Samsung 2014 MStar DTV,00:24:16,00:24:16,PE (Peru)
